Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=True
[PG] Iter 105/500 | Mean Reward=-53.19
[PG] Iter 106/500 | Mean Reward=-72.52
[PG] Iter 107/500 | Mean Reward=-73.39
[PG] Iter 108/500 | Mean Reward=-59.45
[PG] Iter 109/500 | Mean Reward=-65.17
[PG] Iter 110/500 | Mean Reward=-61.91
Saved latest PG checkpoint (iter 110) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 111/500 | Mean Reward=-44.79
[PG] Iter 112/500 | Mean Reward=-40.12
[PG] Iter 113/500 | Mean Reward=-61.61
[PG] Iter 114/500 | Mean Reward=-33.50
[PG] Iter 115/500 | Mean Reward=-46.27
[PG] Iter 116/500 | Mean Reward=-49.19
[PG] Iter 117/500 | Mean Reward=-44.19
[PG] Iter 118/500 | Mean Reward=-61.06
[PG] Iter 119/500 | Mean Reward=-63.55
[PG] Iter 120/500 | Mean Reward=-47.55
Saved latest PG checkpoint (iter 120) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 121/500 | Mean Reward=-49.71
[PG] Iter 122/500 | Mean Reward=-58.25
[PG] Iter 123/500 | Mean Reward=-37.98
[PG] Iter 124/500 | Mean Reward=-40.03
[PG] Iter 125/500 | Mean Reward=-49.72
[PG] Iter 126/500 | Mean Reward=-45.62
[PG] Iter 127/500 | Mean Reward=-44.36
[PG] Iter 128/500 | Mean Reward=-72.52
[PG] Iter 129/500 | Mean Reward=-51.68
[PG] Iter 130/500 | Mean Reward=-56.82
Saved latest PG checkpoint (iter 130) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 131/500 | Mean Reward=-70.34
[PG] Iter 132/500 | Mean Reward=-65.57
[PG] Iter 133/500 | Mean Reward=-58.24
[PG] Iter 134/500 | Mean Reward=-51.76
[PG] Iter 135/500 | Mean Reward=-88.21
[PG] Iter 136/500 | Mean Reward=-110.49
[PG] Iter 137/500 | Mean Reward=-64.57
[PG] Iter 138/500 | Mean Reward=-85.37
[PG] Iter 139/500 | Mean Reward=-101.72
[PG] Iter 140/500 | Mean Reward=-44.48
Saved latest PG checkpoint (iter 140) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 141/500 | Mean Reward=-90.65
[PG] Iter 142/500 | Mean Reward=-51.50
[PG] Iter 143/500 | Mean Reward=-180.95
[PG] Iter 144/500 | Mean Reward=-152.72
[PG] Iter 145/500 | Mean Reward=-105.20
[PG] Iter 146/500 | Mean Reward=-121.98
[PG] Iter 147/500 | Mean Reward=-86.30
[PG] Iter 148/500 | Mean Reward=-73.50
[PG] Iter 149/500 | Mean Reward=-74.43
[PG] Iter 150/500 | Mean Reward=-58.52
Saved latest PG checkpoint (iter 150) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 151/500 | Mean Reward=-76.20
[PG] Iter 152/500 | Mean Reward=-70.61
[PG] Iter 153/500 | Mean Reward=-138.49
[PG] Iter 154/500 | Mean Reward=-88.66
[PG] Iter 155/500 | Mean Reward=-53.86
[PG] Iter 156/500 | Mean Reward=-65.14
[PG] Iter 157/500 | Mean Reward=-31.63
[PG] Iter 158/500 | Mean Reward=-44.04
[PG] Iter 159/500 | Mean Reward=-73.88
[PG] Iter 160/500 | Mean Reward=-20.83
Saved latest PG checkpoint (iter 160) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 161/500 | Mean Reward=-8.52
[PG] Iter 162/500 | Mean Reward=-14.58
[PG] Iter 163/500 | Mean Reward=-35.10
[PG] Iter 164/500 | Mean Reward=-8.88
[PG] Iter 165/500 | Mean Reward=-39.42
[PG] Iter 166/500 | Mean Reward=-37.05
[PG] Iter 167/500 | Mean Reward=-37.47
[PG] Iter 168/500 | Mean Reward=-31.67
[PG] Iter 169/500 | Mean Reward=-7.44
[PG] Iter 170/500 | Mean Reward=-34.91
Saved latest PG checkpoint (iter 170) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 171/500 | Mean Reward=-65.60
[PG] Iter 172/500 | Mean Reward=-39.62
[PG] Iter 173/500 | Mean Reward=-41.52
[PG] Iter 174/500 | Mean Reward=-71.63
[PG] Iter 175/500 | Mean Reward=-49.66
[PG] Iter 176/500 | Mean Reward=-25.08
[PG] Iter 177/500 | Mean Reward=-72.98
[PG] Iter 178/500 | Mean Reward=-66.61
[PG] Iter 179/500 | Mean Reward=-71.56
[PG] Iter 180/500 | Mean Reward=-90.84
