Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=False
[PG] Iter 105/500 | Mean Reward=-118.80
[PG] Iter 106/500 | Mean Reward=-114.50
[PG] Iter 107/500 | Mean Reward=-143.43
[PG] Iter 108/500 | Mean Reward=-115.03
[PG] Iter 109/500 | Mean Reward=-108.20
[PG] Iter 110/500 | Mean Reward=-117.68
Saved latest PG checkpoint (iter 110) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 111/500 | Mean Reward=-124.83
[PG] Iter 112/500 | Mean Reward=-114.63
[PG] Iter 113/500 | Mean Reward=-111.37
[PG] Iter 114/500 | Mean Reward=-119.17
[PG] Iter 115/500 | Mean Reward=-105.51
[PG] Iter 116/500 | Mean Reward=-126.11
[PG] Iter 117/500 | Mean Reward=-117.12
[PG] Iter 118/500 | Mean Reward=-110.56
[PG] Iter 119/500 | Mean Reward=-112.29
[PG] Iter 120/500 | Mean Reward=-127.93
Saved latest PG checkpoint (iter 120) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 121/500 | Mean Reward=-131.15
[PG] Iter 122/500 | Mean Reward=-105.16
[PG] Iter 123/500 | Mean Reward=-129.43
[PG] Iter 124/500 | Mean Reward=-105.11
[PG] Iter 125/500 | Mean Reward=-103.04
[PG] Iter 126/500 | Mean Reward=-108.94
[PG] Iter 127/500 | Mean Reward=-98.96
[PG] Iter 128/500 | Mean Reward=-97.25
[PG] Iter 129/500 | Mean Reward=-112.90
[PG] Iter 130/500 | Mean Reward=-115.51
Saved latest PG checkpoint (iter 130) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 131/500 | Mean Reward=-121.01
[PG] Iter 132/500 | Mean Reward=-101.20
[PG] Iter 133/500 | Mean Reward=-98.00
[PG] Iter 134/500 | Mean Reward=-112.62
[PG] Iter 135/500 | Mean Reward=-114.03
[PG] Iter 136/500 | Mean Reward=-102.37
[PG] Iter 137/500 | Mean Reward=-104.85
[PG] Iter 138/500 | Mean Reward=-110.50
[PG] Iter 139/500 | Mean Reward=-114.26
[PG] Iter 140/500 | Mean Reward=-105.19
Saved latest PG checkpoint (iter 140) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 141/500 | Mean Reward=-115.31
[PG] Iter 142/500 | Mean Reward=-111.79
[PG] Iter 143/500 | Mean Reward=-92.96
[PG] Iter 144/500 | Mean Reward=-102.19
[PG] Iter 145/500 | Mean Reward=-101.63
[PG] Iter 146/500 | Mean Reward=-110.48
[PG] Iter 147/500 | Mean Reward=-92.76
[PG] Iter 148/500 | Mean Reward=-112.74
[PG] Iter 149/500 | Mean Reward=-88.12
[PG] Iter 150/500 | Mean Reward=-97.49
Saved latest PG checkpoint (iter 150) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 151/500 | Mean Reward=-102.81
[PG] Iter 152/500 | Mean Reward=-97.86
[PG] Iter 153/500 | Mean Reward=-112.26
[PG] Iter 154/500 | Mean Reward=-107.24
[PG] Iter 155/500 | Mean Reward=-113.09
[PG] Iter 156/500 | Mean Reward=-96.36
[PG] Iter 157/500 | Mean Reward=-87.92
[PG] Iter 158/500 | Mean Reward=-102.57
[PG] Iter 159/500 | Mean Reward=-97.64
[PG] Iter 160/500 | Mean Reward=-100.05
Saved latest PG checkpoint (iter 160) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 161/500 | Mean Reward=-92.48
[PG] Iter 162/500 | Mean Reward=-108.47
[PG] Iter 163/500 | Mean Reward=-91.46
[PG] Iter 164/500 | Mean Reward=-101.62
[PG] Iter 165/500 | Mean Reward=-96.43
[PG] Iter 166/500 | Mean Reward=-94.34
[PG] Iter 167/500 | Mean Reward=-109.45
[PG] Iter 168/500 | Mean Reward=-102.43
[PG] Iter 169/500 | Mean Reward=-85.99
[PG] Iter 170/500 | Mean Reward=-101.09
Saved latest PG checkpoint (iter 170) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 171/500 | Mean Reward=-97.85
[PG] Iter 172/500 | Mean Reward=-85.00
[PG] Iter 173/500 | Mean Reward=-101.07
[PG] Iter 174/500 | Mean Reward=-104.92
[PG] Iter 175/500 | Mean Reward=-90.26
[PG] Iter 176/500 | Mean Reward=-110.29
[PG] Iter 177/500 | Mean Reward=-104.22
[PG] Iter 178/500 | Mean Reward=-97.52
[PG] Iter 179/500 | Mean Reward=-87.79
[PG] Iter 180/500 | Mean Reward=-101.82
Saved latest PG checkpoint (iter 180) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 181/500 | Mean Reward=-87.31
[PG] Iter 182/500 | Mean Reward=-93.69
[PG] Iter 183/500 | Mean Reward=-100.21
[PG] Iter 184/500 | Mean Reward=-101.40
[PG] Iter 185/500 | Mean Reward=-100.62
[PG] Iter 186/500 | Mean Reward=-97.78
[PG] Iter 187/500 | Mean Reward=-68.99
[PG] Iter 188/500 | Mean Reward=-102.40
[PG] Iter 189/500 | Mean Reward=-101.32
[PG] Iter 190/500 | Mean Reward=-96.75
Saved latest PG checkpoint (iter 190) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 191/500 | Mean Reward=-88.08
[PG] Iter 192/500 | Mean Reward=-96.82
[PG] Iter 193/500 | Mean Reward=-87.10
[PG] Iter 194/500 | Mean Reward=-95.94
[PG] Iter 195/500 | Mean Reward=-95.94
[PG] Iter 196/500 | Mean Reward=-80.17
[PG] Iter 197/500 | Mean Reward=-72.28
[PG] Iter 198/500 | Mean Reward=-81.36
[PG] Iter 199/500 | Mean Reward=-87.02
[PG] Iter 200/500 | Mean Reward=-83.47
Saved latest PG checkpoint (iter 200) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 201/500 | Mean Reward=-72.89
[PG] Iter 202/500 | Mean Reward=-84.09
[PG] Iter 203/500 | Mean Reward=-69.01
[PG] Iter 204/500 | Mean Reward=-76.91
[PG] Iter 205/500 | Mean Reward=-94.82
[PG] Iter 206/500 | Mean Reward=-70.51
[PG] Iter 207/500 | Mean Reward=-64.55
[PG] Iter 208/500 | Mean Reward=-81.67
[PG] Iter 209/500 | Mean Reward=-81.13
[PG] Iter 210/500 | Mean Reward=-88.48
Saved latest PG checkpoint (iter 210) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 211/500 | Mean Reward=-77.28
[PG] Iter 212/500 | Mean Reward=-96.46
[PG] Iter 213/500 | Mean Reward=-80.89
[PG] Iter 214/500 | Mean Reward=-65.54
[PG] Iter 215/500 | Mean Reward=-55.75
[PG] Iter 216/500 | Mean Reward=-88.31
[PG] Iter 217/500 | Mean Reward=-87.90
[PG] Iter 218/500 | Mean Reward=-90.27
[PG] Iter 219/500 | Mean Reward=-93.87
[PG] Iter 220/500 | Mean Reward=-89.04
Saved latest PG checkpoint (iter 220) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 221/500 | Mean Reward=-91.43
[PG] Iter 222/500 | Mean Reward=-94.82
[PG] Iter 223/500 | Mean Reward=-65.30
[PG] Iter 224/500 | Mean Reward=-38.34
[PG] Iter 225/500 | Mean Reward=-80.49
[PG] Iter 226/500 | Mean Reward=-77.11
[PG] Iter 227/500 | Mean Reward=-75.48
[PG] Iter 228/500 | Mean Reward=-71.65
[PG] Iter 229/500 | Mean Reward=-57.37
[PG] Iter 230/500 | Mean Reward=-94.45
Saved latest PG checkpoint (iter 230) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 231/500 | Mean Reward=-61.16
[PG] Iter 232/500 | Mean Reward=-55.86
[PG] Iter 233/500 | Mean Reward=-52.69
[PG] Iter 234/500 | Mean Reward=-44.67
[PG] Iter 235/500 | Mean Reward=-60.44
[PG] Iter 236/500 | Mean Reward=-42.11
[PG] Iter 237/500 | Mean Reward=-65.07
[PG] Iter 238/500 | Mean Reward=-60.01
[PG] Iter 239/500 | Mean Reward=-60.92
