Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=False
Saved latest PG checkpoint (iter 100) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 101/500 | Mean Reward=-100.41
[PG] Iter 102/500 | Mean Reward=-99.20
[PG] Iter 103/500 | Mean Reward=-101.24
[PG] Iter 104/500 | Mean Reward=-97.52
[PG] Iter 105/500 | Mean Reward=-94.64
[PG] Iter 106/500 | Mean Reward=-92.13
[PG] Iter 107/500 | Mean Reward=-92.40
[PG] Iter 108/500 | Mean Reward=-86.86
[PG] Iter 109/500 | Mean Reward=-101.23
[PG] Iter 110/500 | Mean Reward=-87.71
Saved latest PG checkpoint (iter 110) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 111/500 | Mean Reward=-90.87
[PG] Iter 112/500 | Mean Reward=-89.67
[PG] Iter 113/500 | Mean Reward=-92.55
[PG] Iter 114/500 | Mean Reward=-88.52
[PG] Iter 115/500 | Mean Reward=-83.28
[PG] Iter 116/500 | Mean Reward=-99.64
[PG] Iter 117/500 | Mean Reward=-92.08
[PG] Iter 118/500 | Mean Reward=-93.79
[PG] Iter 119/500 | Mean Reward=-88.09
[PG] Iter 120/500 | Mean Reward=-78.86
Saved latest PG checkpoint (iter 120) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 121/500 | Mean Reward=-88.59
[PG] Iter 122/500 | Mean Reward=-95.48
[PG] Iter 123/500 | Mean Reward=-79.18
[PG] Iter 124/500 | Mean Reward=-84.11
[PG] Iter 125/500 | Mean Reward=-72.33
[PG] Iter 126/500 | Mean Reward=-78.38
[PG] Iter 127/500 | Mean Reward=-72.90
[PG] Iter 128/500 | Mean Reward=-78.80
[PG] Iter 129/500 | Mean Reward=-81.62
[PG] Iter 130/500 | Mean Reward=-76.09
Saved latest PG checkpoint (iter 130) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 131/500 | Mean Reward=-80.89
[PG] Iter 132/500 | Mean Reward=-76.01
[PG] Iter 133/500 | Mean Reward=-81.31
[PG] Iter 134/500 | Mean Reward=-72.49
[PG] Iter 135/500 | Mean Reward=-65.52
[PG] Iter 136/500 | Mean Reward=-81.18
[PG] Iter 137/500 | Mean Reward=-73.43
[PG] Iter 138/500 | Mean Reward=-65.26
[PG] Iter 139/500 | Mean Reward=-65.79
[PG] Iter 140/500 | Mean Reward=-61.74
Saved latest PG checkpoint (iter 140) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 141/500 | Mean Reward=-61.18
[PG] Iter 142/500 | Mean Reward=-80.09
[PG] Iter 143/500 | Mean Reward=-60.88
[PG] Iter 144/500 | Mean Reward=-54.43
[PG] Iter 145/500 | Mean Reward=-50.79
[PG] Iter 146/500 | Mean Reward=-57.22
[PG] Iter 147/500 | Mean Reward=-43.77
[PG] Iter 148/500 | Mean Reward=-85.12
[PG] Iter 149/500 | Mean Reward=-91.53
[PG] Iter 150/500 | Mean Reward=-53.87
Saved latest PG checkpoint (iter 150) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 151/500 | Mean Reward=-55.62
[PG] Iter 152/500 | Mean Reward=-45.99
[PG] Iter 153/500 | Mean Reward=-55.30
[PG] Iter 154/500 | Mean Reward=-67.46
[PG] Iter 155/500 | Mean Reward=-59.33
[PG] Iter 156/500 | Mean Reward=-35.80
[PG] Iter 157/500 | Mean Reward=-72.74
[PG] Iter 158/500 | Mean Reward=-52.80
[PG] Iter 159/500 | Mean Reward=-60.77
[PG] Iter 160/500 | Mean Reward=-31.56
Saved latest PG checkpoint (iter 160) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 161/500 | Mean Reward=-31.52
[PG] Iter 162/500 | Mean Reward=-79.38
[PG] Iter 163/500 | Mean Reward=-89.49
[PG] Iter 164/500 | Mean Reward=-51.21
[PG] Iter 165/500 | Mean Reward=-34.87
[PG] Iter 166/500 | Mean Reward=-88.89
[PG] Iter 167/500 | Mean Reward=-48.71
[PG] Iter 168/500 | Mean Reward=-42.17
[PG] Iter 169/500 | Mean Reward=-84.95
[PG] Iter 170/500 | Mean Reward=-56.77
Saved latest PG checkpoint (iter 170) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 171/500 | Mean Reward=-33.35
[PG] Iter 172/500 | Mean Reward=-45.18
[PG] Iter 173/500 | Mean Reward=-61.00
[PG] Iter 174/500 | Mean Reward=-39.45
[PG] Iter 175/500 | Mean Reward=-34.64
[PG] Iter 176/500 | Mean Reward=-53.35
[PG] Iter 177/500 | Mean Reward=-41.41
[PG] Iter 178/500 | Mean Reward=-27.22
[PG] Iter 179/500 | Mean Reward=-39.93
[PG] Iter 180/500 | Mean Reward=-25.04
Saved latest PG checkpoint (iter 180) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 181/500 | Mean Reward=-43.27
[PG] Iter 182/500 | Mean Reward=-69.60
[PG] Iter 183/500 | Mean Reward=-31.35
[PG] Iter 184/500 | Mean Reward=-23.72
[PG] Iter 185/500 | Mean Reward=-36.96
[PG] Iter 186/500 | Mean Reward=-33.96
[PG] Iter 187/500 | Mean Reward=-44.85
[PG] Iter 188/500 | Mean Reward=-36.86
[PG] Iter 189/500 | Mean Reward=-33.19
[PG] Iter 190/500 | Mean Reward=-96.61
Saved latest PG checkpoint (iter 190) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 191/500 | Mean Reward=-45.98
[PG] Iter 192/500 | Mean Reward=-47.52
[PG] Iter 193/500 | Mean Reward=-59.56
[PG] Iter 194/500 | Mean Reward=-14.86
[PG] Iter 195/500 | Mean Reward=-21.20
[PG] Iter 196/500 | Mean Reward=-35.47
[PG] Iter 197/500 | Mean Reward=-74.62
[PG] Iter 198/500 | Mean Reward=-41.70
[PG] Iter 199/500 | Mean Reward=-39.86
[PG] Iter 200/500 | Mean Reward=-18.71
Saved latest PG checkpoint (iter 200) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 201/500 | Mean Reward=-5.22
[PG] Iter 202/500 | Mean Reward=-20.75
[PG] Iter 203/500 | Mean Reward=-54.21
[PG] Iter 204/500 | Mean Reward=-35.85
[PG] Iter 205/500 | Mean Reward=-35.96
[PG] Iter 206/500 | Mean Reward=-9.22
[PG] Iter 207/500 | Mean Reward=-31.00
[PG] Iter 208/500 | Mean Reward=-23.79
[PG] Iter 209/500 | Mean Reward=-16.64
[PG] Iter 210/500 | Mean Reward=-31.83
Saved latest PG checkpoint (iter 210) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 211/500 | Mean Reward=-29.09
[PG] Iter 212/500 | Mean Reward=-1.22
[PG] Iter 213/500 | Mean Reward=-43.86
[PG] Iter 214/500 | Mean Reward=-7.80
[PG] Iter 215/500 | Mean Reward=-10.68
[PG] Iter 216/500 | Mean Reward=-9.36
[PG] Iter 217/500 | Mean Reward=-17.66
[PG] Iter 218/500 | Mean Reward=-29.21
[PG] Iter 219/500 | Mean Reward=-34.92
[PG] Iter 220/500 | Mean Reward=-15.08
Saved latest PG checkpoint (iter 220) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 221/500 | Mean Reward=-46.10
[PG] Iter 222/500 | Mean Reward=-66.23
[PG] Iter 223/500 | Mean Reward=5.32
[PG] Iter 224/500 | Mean Reward=-21.53
[PG] Iter 225/500 | Mean Reward=-28.41
[PG] Iter 226/500 | Mean Reward=-46.16
[PG] Iter 227/500 | Mean Reward=-0.59
[PG] Iter 228/500 | Mean Reward=-43.52
[PG] Iter 229/500 | Mean Reward=-29.10
[PG] Iter 230/500 | Mean Reward=-29.29
Saved latest PG checkpoint (iter 230) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 231/500 | Mean Reward=-16.49
[PG] Iter 232/500 | Mean Reward=-71.48
[PG] Iter 233/500 | Mean Reward=-13.46
[PG] Iter 234/500 | Mean Reward=-3.68
[PG] Iter 235/500 | Mean Reward=11.73
[PG] Iter 236/500 | Mean Reward=2.79
[PG] Iter 237/500 | Mean Reward=-30.21
[PG] Iter 238/500 | Mean Reward=5.99
[PG] Iter 239/500 | Mean Reward=-3.52
[PG] Iter 240/500 | Mean Reward=-35.04
Saved latest PG checkpoint (iter 240) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 241/500 | Mean Reward=-0.60
[PG] Iter 242/500 | Mean Reward=-10.75
[PG] Iter 243/500 | Mean Reward=5.23
[PG] Iter 244/500 | Mean Reward=14.41
[PG] Iter 245/500 | Mean Reward=-12.88
[PG] Iter 246/500 | Mean Reward=-5.18
[PG] Iter 247/500 | Mean Reward=2.85
[PG] Iter 248/500 | Mean Reward=5.85
[PG] Iter 249/500 | Mean Reward=7.36
[PG] Iter 250/500 | Mean Reward=-15.07
Saved latest PG checkpoint (iter 250) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 251/500 | Mean Reward=9.68
[PG] Iter 252/500 | Mean Reward=20.65
[PG] Iter 253/500 | Mean Reward=9.15
[PG] Iter 254/500 | Mean Reward=-0.17
[PG] Iter 255/500 | Mean Reward=-18.64
[PG] Iter 256/500 | Mean Reward=11.43
[PG] Iter 257/500 | Mean Reward=16.61
[PG] Iter 258/500 | Mean Reward=6.04
[PG] Iter 259/500 | Mean Reward=-1.03
[PG] Iter 260/500 | Mean Reward=3.76
Saved latest PG checkpoint (iter 260) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 261/500 | Mean Reward=21.05
[PG] Iter 262/500 | Mean Reward=8.03
[PG] Iter 263/500 | Mean Reward=-17.37
[PG] Iter 264/500 | Mean Reward=17.10
[PG] Iter 265/500 | Mean Reward=-10.63
[PG] Iter 266/500 | Mean Reward=21.42
[PG] Iter 267/500 | Mean Reward=29.90
[PG] Iter 268/500 | Mean Reward=20.10
[PG] Iter 269/500 | Mean Reward=23.75
[PG] Iter 270/500 | Mean Reward=28.81
Saved latest PG checkpoint (iter 270) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 271/500 | Mean Reward=-8.59
[PG] Iter 272/500 | Mean Reward=2.55
[PG] Iter 273/500 | Mean Reward=16.88
[PG] Iter 274/500 | Mean Reward=29.12
[PG] Iter 275/500 | Mean Reward=13.57
[PG] Iter 276/500 | Mean Reward=7.75
[PG] Iter 277/500 | Mean Reward=27.60
[PG] Iter 278/500 | Mean Reward=-19.45
[PG] Iter 279/500 | Mean Reward=-3.07
