Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 105/500 | Mean Reward=-53.85
[PG] Iter 106/500 | Mean Reward=-97.26
[PG] Iter 107/500 | Mean Reward=-87.55
[PG] Iter 108/500 | Mean Reward=-93.23
[PG] Iter 109/500 | Mean Reward=-80.06
[PG] Iter 110/500 | Mean Reward=-90.80
Saved latest PG checkpoint (iter 110) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 111/500 | Mean Reward=-84.12
[PG] Iter 112/500 | Mean Reward=-89.50
[PG] Iter 113/500 | Mean Reward=-99.55
[PG] Iter 114/500 | Mean Reward=-58.82
[PG] Iter 115/500 | Mean Reward=-65.41
[PG] Iter 116/500 | Mean Reward=-60.30
[PG] Iter 117/500 | Mean Reward=-52.35
[PG] Iter 118/500 | Mean Reward=-30.30
[PG] Iter 119/500 | Mean Reward=-39.42
[PG] Iter 120/500 | Mean Reward=-40.11
Saved latest PG checkpoint (iter 120) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 121/500 | Mean Reward=-63.19
[PG] Iter 122/500 | Mean Reward=-45.70
[PG] Iter 123/500 | Mean Reward=-43.44
[PG] Iter 124/500 | Mean Reward=-46.42
[PG] Iter 125/500 | Mean Reward=-50.07
[PG] Iter 126/500 | Mean Reward=-37.25
[PG] Iter 127/500 | Mean Reward=-49.76
[PG] Iter 128/500 | Mean Reward=-61.69
[PG] Iter 129/500 | Mean Reward=-50.57
[PG] Iter 130/500 | Mean Reward=-33.84
Saved latest PG checkpoint (iter 130) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 131/500 | Mean Reward=-49.10
[PG] Iter 132/500 | Mean Reward=-36.07
[PG] Iter 133/500 | Mean Reward=-21.79
[PG] Iter 134/500 | Mean Reward=-17.99
[PG] Iter 135/500 | Mean Reward=-36.50
[PG] Iter 136/500 | Mean Reward=-33.24
[PG] Iter 137/500 | Mean Reward=-48.75
[PG] Iter 138/500 | Mean Reward=-22.35
[PG] Iter 139/500 | Mean Reward=-42.85
[PG] Iter 140/500 | Mean Reward=-22.76
Saved latest PG checkpoint (iter 140) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 141/500 | Mean Reward=-19.06
[PG] Iter 142/500 | Mean Reward=-21.15
[PG] Iter 143/500 | Mean Reward=-64.51
[PG] Iter 144/500 | Mean Reward=-38.81
[PG] Iter 145/500 | Mean Reward=-45.11
[PG] Iter 146/500 | Mean Reward=-23.34
[PG] Iter 147/500 | Mean Reward=-36.49
[PG] Iter 148/500 | Mean Reward=-8.09
[PG] Iter 149/500 | Mean Reward=-18.29
