Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
[PG] Iter 97/350 | Mean Reward=215.50
[PG] Iter 98/350 | Mean Reward=385.67
[PG] Iter 99/350 | Mean Reward=338.67
[PG] Iter 100/350 | Mean Reward=253.20
Saved latest PG checkpoint (iter 100) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 101/350 | Mean Reward=254.80
[PG] Iter 102/350 | Mean Reward=381.00
[PG] Iter 103/350 | Mean Reward=359.75
[PG] Iter 104/350 | Mean Reward=337.67
[PG] Iter 105/350 | Mean Reward=344.75
[PG] Iter 106/350 | Mean Reward=350.00
[PG] Iter 107/350 | Mean Reward=334.00
[PG] Iter 108/350 | Mean Reward=401.33
[PG] Iter 109/350 | Mean Reward=297.75
[PG] Iter 110/350 | Mean Reward=302.50
Saved latest PG checkpoint (iter 110) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 111/350 | Mean Reward=500.00
[PG] Iter 112/350 | Mean Reward=257.50
[PG] Iter 113/350 | Mean Reward=218.20
[PG] Iter 114/350 | Mean Reward=423.33
[PG] Iter 115/350 | Mean Reward=302.25
[PG] Iter 116/350 | Mean Reward=310.75
[PG] Iter 117/350 | Mean Reward=412.67
[PG] Iter 118/350 | Mean Reward=356.33
[PG] Iter 119/350 | Mean Reward=335.75
[PG] Iter 120/350 | Mean Reward=298.50
Saved latest PG checkpoint (iter 120) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 121/350 | Mean Reward=292.75
[PG] Iter 122/350 | Mean Reward=375.67
[PG] Iter 123/350 | Mean Reward=305.50
[PG] Iter 124/350 | Mean Reward=328.50
[PG] Iter 125/350 | Mean Reward=307.75
[PG] Iter 126/350 | Mean Reward=333.33
[PG] Iter 127/350 | Mean Reward=498.00
[PG] Iter 128/350 | Mean Reward=387.67
[PG] Iter 129/350 | Mean Reward=318.25
[PG] Iter 130/350 | Mean Reward=346.75
Saved latest PG checkpoint (iter 130) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 131/350 | Mean Reward=409.00
[PG] Iter 132/350 | Mean Reward=355.25
[PG] Iter 133/350 | Mean Reward=500.00
[PG] Iter 134/350 | Mean Reward=500.00
[PG] Iter 135/350 | Mean Reward=274.75
[PG] Iter 136/350 | Mean Reward=360.67
[PG] Iter 137/350 | Mean Reward=327.25
[PG] Iter 138/350 | Mean Reward=453.00
[PG] Iter 139/350 | Mean Reward=493.33
[PG] Iter 140/350 | Mean Reward=395.00
Saved latest PG checkpoint (iter 140) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 141/350 | Mean Reward=500.00
[PG] Iter 142/350 | Mean Reward=378.67
[PG] Iter 143/350 | Mean Reward=480.67
[PG] Iter 144/350 | Mean Reward=422.00
[PG] Iter 145/350 | Mean Reward=252.00
[PG] Iter 146/350 | Mean Reward=394.33
[PG] Iter 147/350 | Mean Reward=386.00
[PG] Iter 148/350 | Mean Reward=342.67
[PG] Iter 149/350 | Mean Reward=370.00
[PG] Iter 150/350 | Mean Reward=337.00
Saved latest PG checkpoint (iter 150) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
