Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 1/500 | Mean Reward=-164.20
[PG] Iter 2/500 | Mean Reward=-260.62
[PG] Iter 3/500 | Mean Reward=-219.17
[PG] Iter 4/500 | Mean Reward=-198.85
[PG] Iter 5/500 | Mean Reward=-183.33
[PG] Iter 6/500 | Mean Reward=-156.25
[PG] Iter 7/500 | Mean Reward=-158.63
[PG] Iter 8/500 | Mean Reward=-172.21
[PG] Iter 9/500 | Mean Reward=-170.28
[PG] Iter 10/500 | Mean Reward=-122.33
Saved latest PG checkpoint (iter 10) - P3/Q3/Batch1000/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 11/500 | Mean Reward=-214.55
[PG] Iter 12/500 | Mean Reward=-150.98
[PG] Iter 13/500 | Mean Reward=-173.06
[PG] Iter 14/500 | Mean Reward=-148.05
[PG] Iter 15/500 | Mean Reward=-191.67
[PG] Iter 16/500 | Mean Reward=-196.18
[PG] Iter 17/500 | Mean Reward=-221.88
[PG] Iter 18/500 | Mean Reward=-156.19
[PG] Iter 19/500 | Mean Reward=-196.33
[PG] Iter 20/500 | Mean Reward=-142.55
Saved latest PG checkpoint (iter 20) - P3/Q3/Batch1000/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 21/500 | Mean Reward=-218.16
[PG] Iter 22/500 | Mean Reward=-188.84
[PG] Iter 23/500 | Mean Reward=-213.51
[PG] Iter 24/500 | Mean Reward=-110.48
[PG] Iter 25/500 | Mean Reward=-208.35
[PG] Iter 26/500 | Mean Reward=-174.88
[PG] Iter 27/500 | Mean Reward=-168.40
[PG] Iter 28/500 | Mean Reward=-173.52
[PG] Iter 29/500 | Mean Reward=-257.17
[PG] Iter 30/500 | Mean Reward=-154.55
Saved latest PG checkpoint (iter 30) - P3/Q3/Batch1000/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 31/500 | Mean Reward=-157.25
[PG] Iter 32/500 | Mean Reward=-148.16
[PG] Iter 33/500 | Mean Reward=-149.16
[PG] Iter 34/500 | Mean Reward=-184.42
[PG] Iter 35/500 | Mean Reward=-118.74
[PG] Iter 36/500 | Mean Reward=-149.14
[PG] Iter 37/500 | Mean Reward=-140.09
[PG] Iter 38/500 | Mean Reward=-163.25
[PG] Iter 39/500 | Mean Reward=-169.78
[PG] Iter 40/500 | Mean Reward=-147.50
Saved latest PG checkpoint (iter 40) - P3/Q3/Batch1000/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 41/500 | Mean Reward=-114.84
[PG] Iter 42/500 | Mean Reward=-138.44
[PG] Iter 43/500 | Mean Reward=-113.30
[PG] Iter 44/500 | Mean Reward=-139.93
[PG] Iter 45/500 | Mean Reward=-156.73
[PG] Iter 46/500 | Mean Reward=-144.57
[PG] Iter 47/500 | Mean Reward=-162.81
[PG] Iter 48/500 | Mean Reward=-185.10
[PG] Iter 49/500 | Mean Reward=-157.49
[PG] Iter 50/500 | Mean Reward=-118.62
Saved latest PG checkpoint (iter 50) - P3/Q3/Batch1000/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 51/500 | Mean Reward=-117.77
[PG] Iter 52/500 | Mean Reward=-152.41
[PG] Iter 53/500 | Mean Reward=-109.49
[PG] Iter 54/500 | Mean Reward=-163.46
[PG] Iter 55/500 | Mean Reward=-142.98
[PG] Iter 56/500 | Mean Reward=-127.18
[PG] Iter 57/500 | Mean Reward=-137.13
[PG] Iter 58/500 | Mean Reward=-127.95
[PG] Iter 59/500 | Mean Reward=-203.17
[PG] Iter 60/500 | Mean Reward=-137.81
Saved latest PG checkpoint (iter 60) - P3/Q3/Batch1000/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 61/500 | Mean Reward=-147.14
[PG] Iter 62/500 | Mean Reward=-157.95
