Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
[PG] Iter 1/350 | Mean Reward=19.72
[PG] Iter 2/350 | Mean Reward=22.27
[PG] Iter 3/350 | Mean Reward=21.99
[PG] Iter 4/350 | Mean Reward=24.39
[PG] Iter 5/350 | Mean Reward=22.91
[PG] Iter 6/350 | Mean Reward=22.74
[PG] Iter 7/350 | Mean Reward=23.95
[PG] Iter 8/350 | Mean Reward=24.52
[PG] Iter 9/350 | Mean Reward=23.45
[PG] Iter 10/350 | Mean Reward=25.10
Saved latest PG checkpoint (iter 10) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 11/350 | Mean Reward=27.55
[PG] Iter 12/350 | Mean Reward=25.76
[PG] Iter 13/350 | Mean Reward=25.12
[PG] Iter 14/350 | Mean Reward=27.56
[PG] Iter 15/350 | Mean Reward=26.33
[PG] Iter 16/350 | Mean Reward=27.17
[PG] Iter 17/350 | Mean Reward=28.29
[PG] Iter 18/350 | Mean Reward=27.99
[PG] Iter 19/350 | Mean Reward=29.77
[PG] Iter 20/350 | Mean Reward=28.89
Saved latest PG checkpoint (iter 20) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 21/350 | Mean Reward=28.33
[PG] Iter 22/350 | Mean Reward=32.15
[PG] Iter 23/350 | Mean Reward=31.05
[PG] Iter 24/350 | Mean Reward=30.89
[PG] Iter 25/350 | Mean Reward=33.35
[PG] Iter 26/350 | Mean Reward=33.43
[PG] Iter 27/350 | Mean Reward=33.71
[PG] Iter 28/350 | Mean Reward=36.70
[PG] Iter 29/350 | Mean Reward=34.32
[PG] Iter 30/350 | Mean Reward=34.90
Saved latest PG checkpoint (iter 30) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 31/350 | Mean Reward=38.80
[PG] Iter 32/350 | Mean Reward=33.43
[PG] Iter 33/350 | Mean Reward=43.86
[PG] Iter 34/350 | Mean Reward=38.46
[PG] Iter 35/350 | Mean Reward=40.10
[PG] Iter 36/350 | Mean Reward=44.14
[PG] Iter 37/350 | Mean Reward=50.78
[PG] Iter 38/350 | Mean Reward=48.52
[PG] Iter 39/350 | Mean Reward=43.15
[PG] Iter 40/350 | Mean Reward=46.22
Saved latest PG checkpoint (iter 40) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 41/350 | Mean Reward=46.74
[PG] Iter 42/350 | Mean Reward=50.27
[PG] Iter 43/350 | Mean Reward=52.10
[PG] Iter 44/350 | Mean Reward=61.68
[PG] Iter 45/350 | Mean Reward=53.34
[PG] Iter 46/350 | Mean Reward=51.16
[PG] Iter 47/350 | Mean Reward=53.96
[PG] Iter 48/350 | Mean Reward=61.85
[PG] Iter 49/350 | Mean Reward=61.51
[PG] Iter 50/350 | Mean Reward=55.37
Saved latest PG checkpoint (iter 50) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 51/350 | Mean Reward=65.56
[PG] Iter 52/350 | Mean Reward=71.43
[PG] Iter 53/350 | Mean Reward=66.00
[PG] Iter 54/350 | Mean Reward=64.90
[PG] Iter 55/350 | Mean Reward=66.55
[PG] Iter 56/350 | Mean Reward=76.09
[PG] Iter 57/350 | Mean Reward=88.14
[PG] Iter 58/350 | Mean Reward=78.78
[PG] Iter 59/350 | Mean Reward=98.23
[PG] Iter 60/350 | Mean Reward=93.93
Saved latest PG checkpoint (iter 60) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 61/350 | Mean Reward=94.63
[PG] Iter 62/350 | Mean Reward=86.00
[PG] Iter 63/350 | Mean Reward=111.88
[PG] Iter 64/350 | Mean Reward=108.87
[PG] Iter 65/350 | Mean Reward=110.48
[PG] Iter 66/350 | Mean Reward=110.52
[PG] Iter 67/350 | Mean Reward=182.14
[PG] Iter 68/350 | Mean Reward=157.94
[PG] Iter 69/350 | Mean Reward=126.67
[PG] Iter 70/350 | Mean Reward=131.00
Saved latest PG checkpoint (iter 70) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 71/350 | Mean Reward=165.41
[PG] Iter 72/350 | Mean Reward=168.81
[PG] Iter 73/350 | Mean Reward=201.00
[PG] Iter 74/350 | Mean Reward=176.60
[PG] Iter 75/350 | Mean Reward=175.31
[PG] Iter 76/350 | Mean Reward=195.31
[PG] Iter 77/350 | Mean Reward=141.50
[PG] Iter 78/350 | Mean Reward=184.57
[PG] Iter 79/350 | Mean Reward=195.62
[PG] Iter 80/350 | Mean Reward=196.00
Saved latest PG checkpoint (iter 80) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 81/350 | Mean Reward=203.00
[PG] Iter 82/350 | Mean Reward=257.00
[PG] Iter 83/350 | Mean Reward=184.07
[PG] Iter 84/350 | Mean Reward=192.62
[PG] Iter 85/350 | Mean Reward=188.93
[PG] Iter 86/350 | Mean Reward=188.64
[PG] Iter 87/350 | Mean Reward=161.69
[PG] Iter 88/350 | Mean Reward=215.92
[PG] Iter 89/350 | Mean Reward=216.50
[PG] Iter 90/350 | Mean Reward=194.62
Saved latest PG checkpoint (iter 90) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 91/350 | Mean Reward=218.67
[PG] Iter 92/350 | Mean Reward=253.50
[PG] Iter 93/350 | Mean Reward=261.70
[PG] Iter 94/350 | Mean Reward=220.92
[PG] Iter 95/350 | Mean Reward=292.60
[PG] Iter 96/350 | Mean Reward=262.10
[PG] Iter 97/350 | Mean Reward=218.42
[PG] Iter 98/350 | Mean Reward=245.18
[PG] Iter 99/350 | Mean Reward=288.78
[PG] Iter 100/350 | Mean Reward=316.12
Saved latest PG checkpoint (iter 100) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 101/350 | Mean Reward=255.82
[PG] Iter 102/350 | Mean Reward=278.30
[PG] Iter 103/350 | Mean Reward=305.33
[PG] Iter 104/350 | Mean Reward=280.78
[PG] Iter 105/350 | Mean Reward=339.75
[PG] Iter 106/350 | Mean Reward=373.43
[PG] Iter 107/350 | Mean Reward=263.00
[PG] Iter 108/350 | Mean Reward=277.30
[PG] Iter 109/350 | Mean Reward=217.25
[PG] Iter 110/350 | Mean Reward=293.22
Saved latest PG checkpoint (iter 110) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 111/350 | Mean Reward=318.12
[PG] Iter 112/350 | Mean Reward=303.78
[PG] Iter 113/350 | Mean Reward=304.11
[PG] Iter 114/350 | Mean Reward=259.80
[PG] Iter 115/350 | Mean Reward=230.64
[PG] Iter 116/350 | Mean Reward=272.60
[PG] Iter 117/350 | Mean Reward=241.09
[PG] Iter 118/350 | Mean Reward=219.17
[PG] Iter 119/350 | Mean Reward=237.73
[PG] Iter 120/350 | Mean Reward=294.44
Saved latest PG checkpoint (iter 120) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 121/350 | Mean Reward=313.25
[PG] Iter 122/350 | Mean Reward=414.71
[PG] Iter 123/350 | Mean Reward=430.83
[PG] Iter 124/350 | Mean Reward=396.43
[PG] Iter 125/350 | Mean Reward=351.62
[PG] Iter 126/350 | Mean Reward=349.88
[PG] Iter 127/350 | Mean Reward=360.14
[PG] Iter 128/350 | Mean Reward=368.25
[PG] Iter 129/350 | Mean Reward=368.57
[PG] Iter 130/350 | Mean Reward=323.78
Saved latest PG checkpoint (iter 130) - P3/Q3/Batch2500/cartpole/checkpoints/pg_CartPole-v1_last.pth
