Using device: cpu
PG training on CartPole-v1 | reward_to_go=False adv_norm=False
Saved latest PG checkpoint (iter 160) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 161/350 | Mean Reward=255.85
[PG] Iter 162/350 | Mean Reward=259.35
[PG] Iter 163/350 | Mean Reward=254.75
[PG] Iter 164/350 | Mean Reward=231.30
[PG] Iter 165/350 | Mean Reward=240.95
[PG] Iter 166/350 | Mean Reward=293.50
[PG] Iter 167/350 | Mean Reward=285.58
[PG] Iter 168/350 | Mean Reward=331.62
[PG] Iter 169/350 | Mean Reward=284.78
[PG] Iter 170/350 | Mean Reward=378.36
Saved latest PG checkpoint (iter 170) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 171/350 | Mean Reward=304.00
[PG] Iter 172/350 | Mean Reward=294.67
[PG] Iter 173/350 | Mean Reward=299.29
[PG] Iter 174/350 | Mean Reward=300.65
[PG] Iter 175/350 | Mean Reward=285.06
[PG] Iter 176/350 | Mean Reward=303.94
[PG] Iter 177/350 | Mean Reward=373.64
[PG] Iter 178/350 | Mean Reward=328.19
[PG] Iter 179/350 | Mean Reward=312.88
[PG] Iter 180/350 | Mean Reward=288.79
Saved latest PG checkpoint (iter 180) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 181/350 | Mean Reward=321.81
[PG] Iter 182/350 | Mean Reward=266.63
[PG] Iter 183/350 | Mean Reward=275.00
[PG] Iter 184/350 | Mean Reward=295.53
[PG] Iter 185/350 | Mean Reward=275.68
[PG] Iter 186/350 | Mean Reward=283.39
[PG] Iter 187/350 | Mean Reward=279.72
[PG] Iter 188/350 | Mean Reward=319.12
[PG] Iter 189/350 | Mean Reward=320.47
[PG] Iter 190/350 | Mean Reward=281.21
Saved latest PG checkpoint (iter 190) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 191/350 | Mean Reward=289.00
[PG] Iter 192/350 | Mean Reward=336.60
[PG] Iter 193/350 | Mean Reward=296.61
[PG] Iter 194/350 | Mean Reward=301.94
[PG] Iter 195/350 | Mean Reward=268.37
[PG] Iter 196/350 | Mean Reward=376.71
[PG] Iter 197/350 | Mean Reward=250.80
[PG] Iter 198/350 | Mean Reward=346.67
