Using device: cpu
PG training on CartPole-v1 | reward_to_go=False adv_norm=True
[PG] Iter 128/350 | Mean Reward=418.50
[PG] Iter 129/350 | Mean Reward=444.92
[PG] Iter 130/350 | Mean Reward=455.17
Saved latest PG checkpoint (iter 130) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 131/350 | Mean Reward=397.54
[PG] Iter 132/350 | Mean Reward=417.25
[PG] Iter 133/350 | Mean Reward=427.50
[PG] Iter 134/350 | Mean Reward=460.64
[PG] Iter 135/350 | Mean Reward=477.00
[PG] Iter 136/350 | Mean Reward=470.82
[PG] Iter 137/350 | Mean Reward=425.92
[PG] Iter 138/350 | Mean Reward=419.85
[PG] Iter 139/350 | Mean Reward=444.08
[PG] Iter 140/350 | Mean Reward=462.82
Saved latest PG checkpoint (iter 140) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 141/350 | Mean Reward=488.18
[PG] Iter 142/350 | Mean Reward=476.18
[PG] Iter 143/350 | Mean Reward=478.82
[PG] Iter 144/350 | Mean Reward=457.27
[PG] Iter 145/350 | Mean Reward=469.27
[PG] Iter 146/350 | Mean Reward=466.55
[PG] Iter 147/350 | Mean Reward=466.45
[PG] Iter 148/350 | Mean Reward=488.00
[PG] Iter 149/350 | Mean Reward=500.00
[PG] Iter 150/350 | Mean Reward=477.73
Saved latest PG checkpoint (iter 150) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 151/350 | Mean Reward=495.91
[PG] Iter 152/350 | Mean Reward=484.64
[PG] Iter 153/350 | Mean Reward=464.64
[PG] Iter 154/350 | Mean Reward=500.00
[PG] Iter 155/350 | Mean Reward=500.00
[PG] Iter 156/350 | Mean Reward=499.18
[PG] Iter 157/350 | Mean Reward=488.27
[PG] Iter 158/350 | Mean Reward=481.45
[PG] Iter 159/350 | Mean Reward=498.64
[PG] Iter 160/350 | Mean Reward=492.18
Saved latest PG checkpoint (iter 160) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 161/350 | Mean Reward=498.91
[PG] Iter 162/350 | Mean Reward=499.82
[PG] Iter 163/350 | Mean Reward=467.09
[PG] Iter 164/350 | Mean Reward=500.00
[PG] Iter 165/350 | Mean Reward=478.00
[PG] Iter 166/350 | Mean Reward=488.55
[PG] Iter 167/350 | Mean Reward=487.45
[PG] Iter 168/350 | Mean Reward=473.27
[PG] Iter 169/350 | Mean Reward=478.18
[PG] Iter 170/350 | Mean Reward=491.64
Saved latest PG checkpoint (iter 170) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 171/350 | Mean Reward=464.00
[PG] Iter 172/350 | Mean Reward=500.00
[PG] Iter 173/350 | Mean Reward=500.00
[PG] Iter 174/350 | Mean Reward=485.09
[PG] Iter 175/350 | Mean Reward=476.45
[PG] Iter 176/350 | Mean Reward=500.00
[PG] Iter 177/350 | Mean Reward=500.00
[PG] Iter 178/350 | Mean Reward=500.00
[PG] Iter 179/350 | Mean Reward=493.91
[PG] Iter 180/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 180) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 181/350 | Mean Reward=500.00
[PG] Iter 182/350 | Mean Reward=499.45
[PG] Iter 183/350 | Mean Reward=500.00
[PG] Iter 184/350 | Mean Reward=489.91
[PG] Iter 185/350 | Mean Reward=500.00
[PG] Iter 186/350 | Mean Reward=483.82
[PG] Iter 187/350 | Mean Reward=500.00
[PG] Iter 188/350 | Mean Reward=491.27
[PG] Iter 189/350 | Mean Reward=499.82
[PG] Iter 190/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 190) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 191/350 | Mean Reward=498.36
[PG] Iter 192/350 | Mean Reward=500.00
[PG] Iter 193/350 | Mean Reward=477.45
[PG] Iter 194/350 | Mean Reward=500.00
[PG] Iter 195/350 | Mean Reward=500.00
[PG] Iter 196/350 | Mean Reward=500.00
[PG] Iter 197/350 | Mean Reward=500.00
[PG] Iter 198/350 | Mean Reward=500.00
[PG] Iter 199/350 | Mean Reward=472.36
[PG] Iter 200/350 | Mean Reward=471.82
Saved latest PG checkpoint (iter 200) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 201/350 | Mean Reward=500.00
[PG] Iter 202/350 | Mean Reward=480.91
[PG] Iter 203/350 | Mean Reward=480.73
[PG] Iter 204/350 | Mean Reward=500.00
[PG] Iter 205/350 | Mean Reward=491.82
[PG] Iter 206/350 | Mean Reward=489.27
[PG] Iter 207/350 | Mean Reward=488.27
[PG] Iter 208/350 | Mean Reward=500.00
[PG] Iter 209/350 | Mean Reward=500.00
[PG] Iter 210/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 210) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 211/350 | Mean Reward=500.00
[PG] Iter 212/350 | Mean Reward=500.00
[PG] Iter 213/350 | Mean Reward=500.00
[PG] Iter 214/350 | Mean Reward=480.36
[PG] Iter 215/350 | Mean Reward=500.00
[PG] Iter 216/350 | Mean Reward=500.00
[PG] Iter 217/350 | Mean Reward=496.64
[PG] Iter 218/350 | Mean Reward=493.55
[PG] Iter 219/350 | Mean Reward=500.00
[PG] Iter 220/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 220) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 221/350 | Mean Reward=500.00
[PG] Iter 222/350 | Mean Reward=500.00
[PG] Iter 223/350 | Mean Reward=500.00
[PG] Iter 224/350 | Mean Reward=500.00
[PG] Iter 225/350 | Mean Reward=500.00
[PG] Iter 226/350 | Mean Reward=485.55
[PG] Iter 227/350 | Mean Reward=500.00
[PG] Iter 228/350 | Mean Reward=500.00
[PG] Iter 229/350 | Mean Reward=500.00
[PG] Iter 230/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 230) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 231/350 | Mean Reward=500.00
[PG] Iter 232/350 | Mean Reward=500.00
[PG] Iter 233/350 | Mean Reward=500.00
[PG] Iter 234/350 | Mean Reward=489.18
[PG] Iter 235/350 | Mean Reward=500.00
[PG] Iter 236/350 | Mean Reward=500.00
[PG] Iter 237/350 | Mean Reward=500.00
[PG] Iter 238/350 | Mean Reward=500.00
[PG] Iter 239/350 | Mean Reward=500.00
[PG] Iter 240/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 240) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 241/350 | Mean Reward=500.00
[PG] Iter 242/350 | Mean Reward=500.00
[PG] Iter 243/350 | Mean Reward=500.00
[PG] Iter 244/350 | Mean Reward=500.00
[PG] Iter 245/350 | Mean Reward=500.00
[PG] Iter 246/350 | Mean Reward=500.00
[PG] Iter 247/350 | Mean Reward=500.00
[PG] Iter 248/350 | Mean Reward=500.00
[PG] Iter 249/350 | Mean Reward=500.00
[PG] Iter 250/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 250) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 251/350 | Mean Reward=500.00
[PG] Iter 252/350 | Mean Reward=500.00
[PG] Iter 253/350 | Mean Reward=500.00
[PG] Iter 254/350 | Mean Reward=500.00
[PG] Iter 255/350 | Mean Reward=500.00
[PG] Iter 256/350 | Mean Reward=500.00
[PG] Iter 257/350 | Mean Reward=500.00
[PG] Iter 258/350 | Mean Reward=500.00
[PG] Iter 259/350 | Mean Reward=500.00
[PG] Iter 260/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 260) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 261/350 | Mean Reward=500.00
[PG] Iter 262/350 | Mean Reward=500.00
[PG] Iter 263/350 | Mean Reward=500.00
[PG] Iter 264/350 | Mean Reward=500.00
[PG] Iter 265/350 | Mean Reward=500.00
[PG] Iter 266/350 | Mean Reward=500.00
[PG] Iter 267/350 | Mean Reward=500.00
[PG] Iter 268/350 | Mean Reward=500.00
[PG] Iter 269/350 | Mean Reward=500.00
[PG] Iter 270/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 270) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 271/350 | Mean Reward=500.00
[PG] Iter 272/350 | Mean Reward=500.00
[PG] Iter 273/350 | Mean Reward=500.00
[PG] Iter 274/350 | Mean Reward=500.00
[PG] Iter 275/350 | Mean Reward=500.00
[PG] Iter 276/350 | Mean Reward=500.00
[PG] Iter 277/350 | Mean Reward=480.36
[PG] Iter 278/350 | Mean Reward=500.00
[PG] Iter 279/350 | Mean Reward=500.00
[PG] Iter 280/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 280) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 281/350 | Mean Reward=500.00
[PG] Iter 282/350 | Mean Reward=500.00
[PG] Iter 283/350 | Mean Reward=500.00
[PG] Iter 284/350 | Mean Reward=500.00
[PG] Iter 285/350 | Mean Reward=500.00
[PG] Iter 286/350 | Mean Reward=500.00
[PG] Iter 287/350 | Mean Reward=500.00
[PG] Iter 288/350 | Mean Reward=500.00
[PG] Iter 289/350 | Mean Reward=500.00
[PG] Iter 290/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 290) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 291/350 | Mean Reward=500.00
[PG] Iter 292/350 | Mean Reward=500.00
[PG] Iter 293/350 | Mean Reward=500.00
[PG] Iter 294/350 | Mean Reward=489.82
[PG] Iter 295/350 | Mean Reward=500.00
[PG] Iter 296/350 | Mean Reward=500.00
[PG] Iter 297/350 | Mean Reward=500.00
[PG] Iter 298/350 | Mean Reward=500.00
[PG] Iter 299/350 | Mean Reward=500.00
[PG] Iter 300/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 300) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 301/350 | Mean Reward=500.00
[PG] Iter 302/350 | Mean Reward=500.00
[PG] Iter 303/350 | Mean Reward=500.00
[PG] Iter 304/350 | Mean Reward=500.00
[PG] Iter 305/350 | Mean Reward=500.00
[PG] Iter 306/350 | Mean Reward=500.00
[PG] Iter 307/350 | Mean Reward=500.00
[PG] Iter 308/350 | Mean Reward=500.00
[PG] Iter 309/350 | Mean Reward=500.00
[PG] Iter 310/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 310) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 311/350 | Mean Reward=500.00
[PG] Iter 312/350 | Mean Reward=500.00
