Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=False
[PG] Iter 110/350 | Mean Reward=412.31
Saved latest PG checkpoint (iter 110) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 111/350 | Mean Reward=328.62
[PG] Iter 112/350 | Mean Reward=362.21
[PG] Iter 113/350 | Mean Reward=392.23
[PG] Iter 114/350 | Mean Reward=385.14
[PG] Iter 115/350 | Mean Reward=324.75
[PG] Iter 116/350 | Mean Reward=343.07
[PG] Iter 117/350 | Mean Reward=384.29
[PG] Iter 118/350 | Mean Reward=344.93
[PG] Iter 119/350 | Mean Reward=396.38
[PG] Iter 120/350 | Mean Reward=427.50
Saved latest PG checkpoint (iter 120) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 121/350 | Mean Reward=439.50
[PG] Iter 122/350 | Mean Reward=423.08
[PG] Iter 123/350 | Mean Reward=341.67
[PG] Iter 124/350 | Mean Reward=437.42
[PG] Iter 125/350 | Mean Reward=364.27
[PG] Iter 126/350 | Mean Reward=362.79
[PG] Iter 127/350 | Mean Reward=334.87
[PG] Iter 128/350 | Mean Reward=363.43
[PG] Iter 129/350 | Mean Reward=366.71
[PG] Iter 130/350 | Mean Reward=370.43
Saved latest PG checkpoint (iter 130) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 131/350 | Mean Reward=371.71
[PG] Iter 132/350 | Mean Reward=374.21
[PG] Iter 133/350 | Mean Reward=414.31
[PG] Iter 134/350 | Mean Reward=360.50
[PG] Iter 135/350 | Mean Reward=443.33
[PG] Iter 136/350 | Mean Reward=437.00
[PG] Iter 137/350 | Mean Reward=451.83
[PG] Iter 138/350 | Mean Reward=466.27
[PG] Iter 139/350 | Mean Reward=414.31
[PG] Iter 140/350 | Mean Reward=433.92
Saved latest PG checkpoint (iter 140) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 141/350 | Mean Reward=420.08
[PG] Iter 142/350 | Mean Reward=418.25
[PG] Iter 143/350 | Mean Reward=336.27
[PG] Iter 144/350 | Mean Reward=347.07
[PG] Iter 145/350 | Mean Reward=300.35
[PG] Iter 146/350 | Mean Reward=300.53
[PG] Iter 147/350 | Mean Reward=291.28
[PG] Iter 148/350 | Mean Reward=286.28
[PG] Iter 149/350 | Mean Reward=302.24
[PG] Iter 150/350 | Mean Reward=330.06
Saved latest PG checkpoint (iter 150) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 151/350 | Mean Reward=383.64
[PG] Iter 152/350 | Mean Reward=372.07
[PG] Iter 153/350 | Mean Reward=371.57
[PG] Iter 154/350 | Mean Reward=401.46
[PG] Iter 155/350 | Mean Reward=377.14
[PG] Iter 156/350 | Mean Reward=351.60
[PG] Iter 157/350 | Mean Reward=291.44
[PG] Iter 158/350 | Mean Reward=361.71
[PG] Iter 159/350 | Mean Reward=386.07
[PG] Iter 160/350 | Mean Reward=343.47
Saved latest PG checkpoint (iter 160) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 161/350 | Mean Reward=383.21
[PG] Iter 162/350 | Mean Reward=380.79
[PG] Iter 163/350 | Mean Reward=394.46
[PG] Iter 164/350 | Mean Reward=434.83
[PG] Iter 165/350 | Mean Reward=424.08
[PG] Iter 166/350 | Mean Reward=359.27
[PG] Iter 167/350 | Mean Reward=373.00
[PG] Iter 168/350 | Mean Reward=358.07
[PG] Iter 169/350 | Mean Reward=434.17
[PG] Iter 170/350 | Mean Reward=425.67
Saved latest PG checkpoint (iter 170) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 171/350 | Mean Reward=405.92
[PG] Iter 172/350 | Mean Reward=420.33
[PG] Iter 173/350 | Mean Reward=498.73
[PG] Iter 174/350 | Mean Reward=468.45
[PG] Iter 175/350 | Mean Reward=430.08
[PG] Iter 176/350 | Mean Reward=403.85
[PG] Iter 177/350 | Mean Reward=374.29
[PG] Iter 178/350 | Mean Reward=431.50
[PG] Iter 179/350 | Mean Reward=428.25
[PG] Iter 180/350 | Mean Reward=408.15
Saved latest PG checkpoint (iter 180) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 181/350 | Mean Reward=483.27
[PG] Iter 182/350 | Mean Reward=464.55
[PG] Iter 183/350 | Mean Reward=462.36
[PG] Iter 184/350 | Mean Reward=465.00
[PG] Iter 185/350 | Mean Reward=439.75
[PG] Iter 186/350 | Mean Reward=434.50
[PG] Iter 187/350 | Mean Reward=390.00
[PG] Iter 188/350 | Mean Reward=425.42
[PG] Iter 189/350 | Mean Reward=388.36
[PG] Iter 190/350 | Mean Reward=297.88
Saved latest PG checkpoint (iter 190) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 191/350 | Mean Reward=368.64
[PG] Iter 192/350 | Mean Reward=325.88
[PG] Iter 193/350 | Mean Reward=296.44
[PG] Iter 194/350 | Mean Reward=278.37
[PG] Iter 195/350 | Mean Reward=265.40
[PG] Iter 196/350 | Mean Reward=235.18
[PG] Iter 197/350 | Mean Reward=260.35
[PG] Iter 198/350 | Mean Reward=254.80
[PG] Iter 199/350 | Mean Reward=252.00
[PG] Iter 200/350 | Mean Reward=270.11
Saved latest PG checkpoint (iter 200) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 201/350 | Mean Reward=279.06
[PG] Iter 202/350 | Mean Reward=368.50
[PG] Iter 203/350 | Mean Reward=371.21
[PG] Iter 204/350 | Mean Reward=466.18
[PG] Iter 205/350 | Mean Reward=478.27
[PG] Iter 206/350 | Mean Reward=453.58
[PG] Iter 207/350 | Mean Reward=479.45
[PG] Iter 208/350 | Mean Reward=494.82
[PG] Iter 209/350 | Mean Reward=494.45
[PG] Iter 210/350 | Mean Reward=492.73
Saved latest PG checkpoint (iter 210) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 211/350 | Mean Reward=500.00
[PG] Iter 212/350 | Mean Reward=498.00
[PG] Iter 213/350 | Mean Reward=500.00
[PG] Iter 214/350 | Mean Reward=497.91
[PG] Iter 215/350 | Mean Reward=500.00
[PG] Iter 216/350 | Mean Reward=462.18
[PG] Iter 217/350 | Mean Reward=500.00
[PG] Iter 218/350 | Mean Reward=477.64
[PG] Iter 219/350 | Mean Reward=466.82
[PG] Iter 220/350 | Mean Reward=447.33
Saved latest PG checkpoint (iter 220) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 221/350 | Mean Reward=393.38
[PG] Iter 222/350 | Mean Reward=401.38
[PG] Iter 223/350 | Mean Reward=368.50
[PG] Iter 224/350 | Mean Reward=365.57
[PG] Iter 225/350 | Mean Reward=411.38
[PG] Iter 226/350 | Mean Reward=438.58
[PG] Iter 227/350 | Mean Reward=428.08
[PG] Iter 228/350 | Mean Reward=454.73
[PG] Iter 229/350 | Mean Reward=408.08
[PG] Iter 230/350 | Mean Reward=418.58
Saved latest PG checkpoint (iter 230) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 231/350 | Mean Reward=414.85
[PG] Iter 232/350 | Mean Reward=342.67
[PG] Iter 233/350 | Mean Reward=340.47
[PG] Iter 234/350 | Mean Reward=358.20
[PG] Iter 235/350 | Mean Reward=389.15
[PG] Iter 236/350 | Mean Reward=392.69
[PG] Iter 237/350 | Mean Reward=407.69
[PG] Iter 238/350 | Mean Reward=389.08
[PG] Iter 239/350 | Mean Reward=410.08
[PG] Iter 240/350 | Mean Reward=434.33
Saved latest PG checkpoint (iter 240) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 241/350 | Mean Reward=407.08
[PG] Iter 242/350 | Mean Reward=378.14
[PG] Iter 243/350 | Mean Reward=384.29
[PG] Iter 244/350 | Mean Reward=477.73
[PG] Iter 245/350 | Mean Reward=455.91
[PG] Iter 246/350 | Mean Reward=463.91
[PG] Iter 247/350 | Mean Reward=475.55
[PG] Iter 248/350 | Mean Reward=430.50
[PG] Iter 249/350 | Mean Reward=440.50
[PG] Iter 250/350 | Mean Reward=465.00
Saved latest PG checkpoint (iter 250) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 251/350 | Mean Reward=475.82
[PG] Iter 252/350 | Mean Reward=500.00
[PG] Iter 253/350 | Mean Reward=444.75
[PG] Iter 254/350 | Mean Reward=464.18
[PG] Iter 255/350 | Mean Reward=486.55
[PG] Iter 256/350 | Mean Reward=485.55
[PG] Iter 257/350 | Mean Reward=465.55
[PG] Iter 258/350 | Mean Reward=490.55
[PG] Iter 259/350 | Mean Reward=481.73
[PG] Iter 260/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 260) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 261/350 | Mean Reward=485.00
[PG] Iter 262/350 | Mean Reward=493.27
[PG] Iter 263/350 | Mean Reward=453.50
[PG] Iter 264/350 | Mean Reward=500.00
[PG] Iter 265/350 | Mean Reward=499.45
[PG] Iter 266/350 | Mean Reward=457.55
[PG] Iter 267/350 | Mean Reward=471.00
[PG] Iter 268/350 | Mean Reward=476.64
[PG] Iter 269/350 | Mean Reward=483.45
[PG] Iter 270/350 | Mean Reward=492.91
Saved latest PG checkpoint (iter 270) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 271/350 | Mean Reward=432.08
[PG] Iter 272/350 | Mean Reward=483.55
[PG] Iter 273/350 | Mean Reward=482.55
[PG] Iter 274/350 | Mean Reward=483.45
[PG] Iter 275/350 | Mean Reward=479.36
[PG] Iter 276/350 | Mean Reward=468.82
[PG] Iter 277/350 | Mean Reward=487.55
[PG] Iter 278/350 | Mean Reward=468.73
[PG] Iter 279/350 | Mean Reward=473.91
[PG] Iter 280/350 | Mean Reward=445.83
Saved latest PG checkpoint (iter 280) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 281/350 | Mean Reward=482.82
[PG] Iter 282/350 | Mean Reward=499.91
[PG] Iter 283/350 | Mean Reward=463.55
[PG] Iter 284/350 | Mean Reward=470.27
[PG] Iter 285/350 | Mean Reward=481.73
[PG] Iter 286/350 | Mean Reward=469.45
[PG] Iter 287/350 | Mean Reward=410.00
[PG] Iter 288/350 | Mean Reward=500.00
[PG] Iter 289/350 | Mean Reward=485.45
[PG] Iter 290/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 290) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 291/350 | Mean Reward=477.09
[PG] Iter 292/350 | Mean Reward=489.09
[PG] Iter 293/350 | Mean Reward=443.67
[PG] Iter 294/350 | Mean Reward=483.27
[PG] Iter 295/350 | Mean Reward=456.33
[PG] Iter 296/350 | Mean Reward=472.36
[PG] Iter 297/350 | Mean Reward=463.91
[PG] Iter 298/350 | Mean Reward=497.73
[PG] Iter 299/350 | Mean Reward=500.00
[PG] Iter 300/350 | Mean Reward=496.73
Saved latest PG checkpoint (iter 300) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 301/350 | Mean Reward=469.36
[PG] Iter 302/350 | Mean Reward=500.00
[PG] Iter 303/350 | Mean Reward=456.36
[PG] Iter 304/350 | Mean Reward=468.64
[PG] Iter 305/350 | Mean Reward=482.36
[PG] Iter 306/350 | Mean Reward=500.00
[PG] Iter 307/350 | Mean Reward=457.18
[PG] Iter 308/350 | Mean Reward=455.17
[PG] Iter 309/350 | Mean Reward=466.27
[PG] Iter 310/350 | Mean Reward=433.58
Saved latest PG checkpoint (iter 310) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 311/350 | Mean Reward=435.33
[PG] Iter 312/350 | Mean Reward=377.43
[PG] Iter 313/350 | Mean Reward=469.27
[PG] Iter 314/350 | Mean Reward=415.23
[PG] Iter 315/350 | Mean Reward=464.82
[PG] Iter 316/350 | Mean Reward=424.00
[PG] Iter 317/350 | Mean Reward=452.58
[PG] Iter 318/350 | Mean Reward=410.23
[PG] Iter 319/350 | Mean Reward=387.46
[PG] Iter 320/350 | Mean Reward=430.50
Saved latest PG checkpoint (iter 320) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 321/350 | Mean Reward=432.33
[PG] Iter 322/350 | Mean Reward=479.09
[PG] Iter 323/350 | Mean Reward=468.64
[PG] Iter 324/350 | Mean Reward=401.77
[PG] Iter 325/350 | Mean Reward=444.67
[PG] Iter 326/350 | Mean Reward=418.42
[PG] Iter 327/350 | Mean Reward=485.55
[PG] Iter 328/350 | Mean Reward=435.42
[PG] Iter 329/350 | Mean Reward=469.55
[PG] Iter 330/350 | Mean Reward=488.82
Saved latest PG checkpoint (iter 330) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 331/350 | Mean Reward=467.18
[PG] Iter 332/350 | Mean Reward=462.18
[PG] Iter 333/350 | Mean Reward=500.00
[PG] Iter 334/350 | Mean Reward=482.64
[PG] Iter 335/350 | Mean Reward=466.55
[PG] Iter 336/350 | Mean Reward=488.82
[PG] Iter 337/350 | Mean Reward=466.82
[PG] Iter 338/350 | Mean Reward=482.82
[PG] Iter 339/350 | Mean Reward=500.00
[PG] Iter 340/350 | Mean Reward=497.64
Saved latest PG checkpoint (iter 340) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 341/350 | Mean Reward=500.00
[PG] Iter 342/350 | Mean Reward=500.00
[PG] Iter 343/350 | Mean Reward=459.27
[PG] Iter 344/350 | Mean Reward=475.00
[PG] Iter 345/350 | Mean Reward=500.00
[PG] Iter 346/350 | Mean Reward=455.58
[PG] Iter 347/350 | Mean Reward=500.00
[PG] Iter 348/350 | Mean Reward=453.83
[PG] Iter 349/350 | Mean Reward=459.27
[PG] Iter 350/350 | Mean Reward=481.27
Saved latest PG checkpoint (iter 350) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
Saved PG plot: P3/Q2/cartpole/plots/pg_CartPole-v1_20251102_180122.png
