Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
Saved latest PG checkpoint (iter 70) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 71/350 | Mean Reward=237.27
[PG] Iter 72/350 | Mean Reward=264.30
[PG] Iter 73/350 | Mean Reward=253.05
[PG] Iter 74/350 | Mean Reward=260.90
[PG] Iter 75/350 | Mean Reward=284.78
[PG] Iter 76/350 | Mean Reward=248.19
[PG] Iter 77/350 | Mean Reward=294.65
[PG] Iter 78/350 | Mean Reward=283.11
[PG] Iter 79/350 | Mean Reward=278.22
[PG] Iter 80/350 | Mean Reward=271.00
Saved latest PG checkpoint (iter 80) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 81/350 | Mean Reward=298.24
[PG] Iter 82/350 | Mean Reward=299.76
[PG] Iter 83/350 | Mean Reward=314.75
[PG] Iter 84/350 | Mean Reward=292.89
[PG] Iter 85/350 | Mean Reward=305.29
[PG] Iter 86/350 | Mean Reward=357.27
[PG] Iter 87/350 | Mean Reward=367.21
[PG] Iter 88/350 | Mean Reward=311.06
[PG] Iter 89/350 | Mean Reward=365.07
[PG] Iter 90/350 | Mean Reward=325.75
Saved latest PG checkpoint (iter 90) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 91/350 | Mean Reward=396.69
[PG] Iter 92/350 | Mean Reward=418.31
[PG] Iter 93/350 | Mean Reward=361.80
[PG] Iter 94/350 | Mean Reward=359.29
[PG] Iter 95/350 | Mean Reward=398.15
[PG] Iter 96/350 | Mean Reward=391.38
[PG] Iter 97/350 | Mean Reward=369.86
[PG] Iter 98/350 | Mean Reward=391.23
[PG] Iter 99/350 | Mean Reward=368.71
[PG] Iter 100/350 | Mean Reward=403.23
Saved latest PG checkpoint (iter 100) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 101/350 | Mean Reward=381.71
[PG] Iter 102/350 | Mean Reward=390.85
[PG] Iter 103/350 | Mean Reward=454.91
[PG] Iter 104/350 | Mean Reward=437.00
[PG] Iter 105/350 | Mean Reward=385.50
[PG] Iter 106/350 | Mean Reward=410.85
[PG] Iter 107/350 | Mean Reward=375.86
[PG] Iter 108/350 | Mean Reward=384.00
[PG] Iter 109/350 | Mean Reward=310.18
