Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 157/500 | Mean Reward=-41.11
[PG] Iter 158/500 | Mean Reward=-33.02
[PG] Iter 159/500 | Mean Reward=-50.59
[PG] Iter 160/500 | Mean Reward=-81.49
Saved latest PG checkpoint (iter 160) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 161/500 | Mean Reward=-49.91
[PG] Iter 162/500 | Mean Reward=-49.46
[PG] Iter 163/500 | Mean Reward=-50.02
[PG] Iter 164/500 | Mean Reward=-39.50
[PG] Iter 165/500 | Mean Reward=-18.19
[PG] Iter 166/500 | Mean Reward=-96.60
[PG] Iter 167/500 | Mean Reward=-0.38
[PG] Iter 168/500 | Mean Reward=-13.71
[PG] Iter 169/500 | Mean Reward=-49.23
[PG] Iter 170/500 | Mean Reward=-8.99
Saved latest PG checkpoint (iter 170) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 171/500 | Mean Reward=13.71
[PG] Iter 172/500 | Mean Reward=-29.20
[PG] Iter 173/500 | Mean Reward=-38.38
[PG] Iter 174/500 | Mean Reward=-39.77
[PG] Iter 175/500 | Mean Reward=-215.61
[PG] Iter 176/500 | Mean Reward=-6.78
[PG] Iter 177/500 | Mean Reward=2.57
[PG] Iter 178/500 | Mean Reward=8.17
[PG] Iter 179/500 | Mean Reward=16.14
[PG] Iter 180/500 | Mean Reward=-7.06
Saved latest PG checkpoint (iter 180) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 181/500 | Mean Reward=-3.67
[PG] Iter 182/500 | Mean Reward=-13.54
[PG] Iter 183/500 | Mean Reward=-17.15
[PG] Iter 184/500 | Mean Reward=-15.08
[PG] Iter 185/500 | Mean Reward=-3.11
[PG] Iter 186/500 | Mean Reward=-10.25
[PG] Iter 187/500 | Mean Reward=-2.28
[PG] Iter 188/500 | Mean Reward=-19.42
[PG] Iter 189/500 | Mean Reward=-0.11
[PG] Iter 190/500 | Mean Reward=-8.75
Saved latest PG checkpoint (iter 190) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 191/500 | Mean Reward=-7.12
[PG] Iter 192/500 | Mean Reward=22.61
[PG] Iter 193/500 | Mean Reward=-28.63
[PG] Iter 194/500 | Mean Reward=-12.56
[PG] Iter 195/500 | Mean Reward=-30.07
[PG] Iter 196/500 | Mean Reward=-40.22
[PG] Iter 197/500 | Mean Reward=-20.39
[PG] Iter 198/500 | Mean Reward=32.19
[PG] Iter 199/500 | Mean Reward=6.77
[PG] Iter 200/500 | Mean Reward=13.08
